Year,Item,Values
2021,Total Revenue,28318.4
2022,Total Revenue,28541.4
2023,Total Revenue,34124.1
2021,U.S.,16811
2022,U.S.,18190
2023,U.S.,21791
2021,Outside U.S.,11507.4
2022,Outside U.S.,10351.3
2023,Outside U.S.,12333.1
2021,Diabetes and Obesity | U.S.,8719.3
2022,Diabetes and Obesity | U.S.,9911.1
2023,Diabetes and Obesity | U.S.,14780.8
2021,Diabetes and Obesity | Outside U.S.,4468.8
2022,Diabetes and Obesity | Outside U.S.,4553.7
2023,Diabetes and Obesity | Outside U.S.,4886.8
2021,Trulicity® | U.S.,4914.4
2022,Trulicity® | U.S.,5688.8
2023,Trulicity® | U.S.,5433.3
2021,Trulicity® | Outside U.S.,1557.6
2022,Trulicity® | Outside U.S.,1750.9
2023,Trulicity® | Outside U.S.,1699.2
2021,Mounjaro® | U.S.,0
2022,Mounjaro® | U.S.,366.6
2023,Mounjaro® | U.S.,4834.2
2021,Mounjaro® | Outside U.S.,0
2022,Mounjaro® | Outside U.S.,115.9
2023,Mounjaro® | Outside U.S.,328.9
2021,Jardiance,1490.8
2022,Jardiance,2066
2023,Jardiance,2744.7
2021,Jardiance | U.S.,807.3
2022,Jardiance | U.S.,1194.5
2023,Jardiance | U.S.,1600.4
2021,Jardiance | Outside U.S.,683.5
2022,Jardiance | Outside U.S.,871.5
2023,Jardiance | Outside U.S.,1144.2
2021,Humalog® | U.S.,1320.7
2022,Humalog® | U.S.,1191.9
2023,Humalog® | U.S.,863.2
2021,Humalog® | Outside U.S.,1132.3
2022,Humalog® | Outside U.S.,868.7
2023,Humalog® | Outside U.S.,800.2
2021,Humulin® | U.S.,832.9
2022,Humulin® | U.S.,730.2
2023,Humulin® | U.S.,610.1
2021,Humulin® | Outside U.S.,389.6
2022,Humulin® | Outside U.S.,289.2
2023,Humulin® | Outside U.S.,242
2021,Basaglar,892.5
2022,Basaglar,760.4
2023,Basaglar,728.3
2021,Basaglar | U.S.,588.3
2022,Basaglar | U.S.,470.7
2023,Basaglar | U.S.,443.1
2021,Basaglar | Outside U.S.,304.2
2022,Basaglar | Outside U.S.,289.7
2023,Basaglar | Outside U.S.,285.2
2021,Baqsimi | U.S.,96.4
2022,Baqsimi | U.S.,110.4
2023,Baqsimi | U.S.,645.7
2021,Baqsimi | Outside U.S.,16.8
2022,Baqsimi | Outside U.S.,28.9
2023,Baqsimi | Outside U.S.,31.9
2021,Zepbound® | U.S.,0
2022,Zepbound® | U.S.,0
2023,Zepbound® | U.S.,175.8
2021,Zepbound® | Outside U.S.,0
2022,Zepbound® | Outside U.S.,0
2023,Zepbound® | Outside U.S.,0
2021,Other diabetes and obesity | U.S.,159.3
2022,Other diabetes and obesity | U.S.,158
2023,Other diabetes and obesity | U.S.,175
2021,Other diabetes and obesity | Outside U.S.,384.8
2022,Other diabetes and obesity | Outside U.S.,338.9
2023,Other diabetes and obesity | Outside U.S.,355.2
2021,Oncology | U.S.,3028.8
2022,Oncology | U.S.,3218.1
2023,Oncology | U.S.,3797
2021,Oncology | Outside U.S.,2712.5
2022,Oncology | Outside U.S.,2448.1
2023,Oncology | Outside U.S.,2861.3
2021,Verzenio® | U.S.,834.9
2022,Verzenio® | U.S.,1653.2
2023,Verzenio® | U.S.,2509
2021,Verzenio® | Outside U.S.,515
2022,Verzenio® | Outside U.S.,830.3
2023,Verzenio® | Outside U.S.,1354.3
2021,Cyramza® | U.S.,358.1
2022,Cyramza® | U.S.,351.4
2023,Cyramza® | U.S.,402.3
2021,Cyramza® | Outside U.S.,674.8
2022,Cyramza® | Outside U.S.,620
2023,Cyramza® | Outside U.S.,572.4
2021,Erbitux® | U.S.,481.8
2022,Erbitux® | U.S.,500.1
2023,Erbitux® | U.S.,528.9
2021,Erbitux® | Outside U.S.,66.4
2022,Erbitux® | Outside U.S.,66.4
2023,Erbitux® | Outside U.S.,67.6
2021,Tyvyt®,418.1
2022,Tyvyt®,293.3
2023,Tyvyt®,393.4
2021,Tyvyt® | U.S.,0
2022,Tyvyt® | U.S.,0
2023,Tyvyt® | U.S.,0
2021,Tyvyt® | Outside U.S.,418.1
2022,Tyvyt® | Outside U.S.,293.3
2023,Tyvyt® | Outside U.S.,393.4
2021,Alimta® | U.S.,1233.9
2022,Alimta® | U.S.,543.7
2023,Alimta® | U.S.,72.9
2021,Alimta® | Outside U.S.,827.5
2022,Alimta® | Outside U.S.,384
2023,Alimta® | Outside U.S.,144.6
2021,Other oncology | U.S.,120.1
2022,Other oncology | U.S.,169.7
2023,Other oncology | U.S.,283.9
2021,Other oncology | Outside U.S.,210.7
2022,Other oncology | Outside U.S.,254.1
2023,Other oncology | Outside U.S.,329
2021,Immunology | U.S.,1881.8
2022,Immunology | U.S.,1892.8
2023,Immunology | U.S.,2057.9
2021,Immunology | Outside U.S.,1479
2022,Immunology | Outside U.S.,1451.8
2023,Immunology | Outside U.S.,1739.6
2021,Taltz® | U.S.,1542.4
2022,Taltz® | U.S.,1724.6
2023,Taltz® | U.S.,1831.6
2021,Taltz® | Outside U.S.,670.4
2022,Taltz® | Outside U.S.,757.4
2023,Taltz® | Outside U.S.,928
2021,Olumiant,1115.1
2022,Olumiant,830.5
2023,Olumiant,922.6
2021,Olumiant | U.S.,324.1
2022,Olumiant | U.S.,148.2
2023,Olumiant | U.S.,225.5
2021,Olumiant | Outside U.S.,791
2022,Olumiant | Outside U.S.,682.3
2023,Olumiant | Outside U.S.,697.2
2021,Other immunology | U.S.,15.3
2022,Other immunology | U.S.,20
2023,Other immunology | U.S.,0.8
2021,Other immunology | Outside U.S.,17.6
2022,Other immunology | Outside U.S.,12.1
2023,Other immunology | Outside U.S.,114.4
2021,Neuroscience | U.S.,614.8
2022,Neuroscience | U.S.,612.4
2023,Neuroscience | U.S.,696
2021,Neuroscience | Outside U.S.,1283.7
2022,Neuroscience | Outside U.S.,933.8
2023,Neuroscience | Outside U.S.,2182.5
2021,Zyprexa® | U.S.,39.6
2022,Zyprexa® | U.S.,30.4
2023,Zyprexa® | U.S.,79.4
2021,Zyprexa® | Outside U.S.,390.7
2022,Zyprexa® | Outside U.S.,306.5
2023,Zyprexa® | Outside U.S.,1615.4
2021,Emgality® | U.S.,434.5
2022,Emgality® | U.S.,462.8
2023,Emgality® | U.S.,482.2
2021,Emgality® | Outside U.S.,142.7
2022,Emgality® | Outside U.S.,188.1
2023,Emgality® | Outside U.S.,196
2021,Other neuroscience | U.S.,140.7
2022,Other neuroscience | U.S.,119.2
2023,Other neuroscience | U.S.,134.4
2021,Other neuroscience | Outside U.S.,750.3
2022,Other neuroscience | Outside U.S.,439.2
2023,Other neuroscience | Outside U.S.,371.1
2021,Other | U.S.,2566.4
2022,Other | U.S.,2555.7
2023,Other | U.S.,459.3
2021,Other | Outside U.S.,1563.5
2022,Other | Outside U.S.,964
2023,Other | Outside U.S.,662.9
2021,Forteo® | U.S.,441.6
2022,Forteo® | U.S.,367.3
2023,Forteo® | U.S.,335.5
2021,Forteo® | Outside U.S.,360.3
2022,Forteo® | Outside U.S.,245.8
2023,Forteo® | Outside U.S.,197.7
2021,Cialis® | U.S.,10.6
2022,Cialis® | U.S.,35.2
2023,Cialis® | U.S.,26.1
2021,Cialis® | Outside U.S.,707.9
2022,Cialis® | Outside U.S.,552.1
2023,Cialis® | Outside U.S.,355.3
2021,COVID-19 antibodies,2240
2022,COVID-19 antibodies,2020
2023,COVID-19 antibodies,0
2021,COVID-19 antibodies | U.S.,1978
2022,COVID-19 antibodies | U.S.,2008.9
2023,COVID-19 antibodies | U.S.,0
2021,COVID-19 antibodies | Outside U.S.,261.4
2022,COVID-19 antibodies | Outside U.S.,14.7
2023,COVID-19 antibodies | Outside U.S.,0
2021,Other | U.S.,136.1
2022,Other | U.S.,144.2
2023,Other | U.S.,97.7
2021,Other | Outside U.S.,233.9
2022,Other | Outside U.S.,151.3
2023,Other | Outside U.S.,109.9
